iter	Passed	Remaining
0	0	47
1	0	48
2	1	43
3	1	42
4	2	41
5	2	40
6	3	39
7	3	39
8	3	38
9	4	37
10	4	36
11	4	36
12	5	37
13	6	37
14	6	37
15	7	36
16	7	36
17	7	36
18	8	35
19	8	34
20	9	34
21	9	33
22	9	33
23	10	32
24	10	32
25	11	31
26	11	31
27	12	31
28	12	30
29	12	30
30	13	29
31	13	29
32	14	28
33	14	28
34	15	28
35	15	27
36	15	27
37	16	26
38	16	26
39	17	25
40	17	25
41	17	24
42	18	24
43	18	23
44	19	23
45	19	23
46	20	22
47	20	22
48	21	21
49	21	21
50	21	20
51	22	20
52	22	20
53	22	19
54	23	19
55	23	18
56	24	18
57	24	17
58	25	17
59	25	16
60	25	16
61	26	16
62	26	15
63	27	15
64	27	14
65	27	14
66	28	13
67	28	13
68	29	13
69	29	12
70	30	12
71	30	11
72	30	11
73	31	10
74	31	10
75	32	10
76	32	9
77	33	9
78	33	8
79	33	8
80	34	8
81	34	7
82	35	7
83	35	6
84	35	6
85	36	5
86	36	5
87	37	5
88	37	4
89	37	4
90	38	3
91	38	3
92	39	2
93	39	2
94	39	2
95	40	1
96	40	1
97	41	0
98	41	0
99	42	0
